Africa/Harare,+02:00,+02:00
Africa/Lusaka,+02:00,+02:00
Africa/Johannesburg,+02:00,+02:00
Indian/Mayotte,+03:00,+03:00
Asia/Aden,+03:00,+03:00
Pacific/Apia,+13:00,+14:00
Pacific/Wallis,+12:00,+12:00
Pacific/Efate,+11:00,+11:00
Asia/Ho_Chi_Minh,+07:00,+07:00
America/St_Thomas,_04:00,_04:00
America/Tortola,_04:00,_04:00
America/Caracas,_04:30,_04:30
America/St_Vincent,_04:00,_04:00
Europe/Vatican,+01:00,+02:00
Asia/Samarkand,+05:00,+05:00
Asia/Tashkent,+05:00,+05:00
America/Montevideo,_03:00,_02:00
America/Anchorage,_09:00,_08:00
America/Shiprock,_07:00,_06:00
America/Sitka,_09:00,_08:00
America/North_Dakota/Beulah,_06:00,_05:00
America/Indiana/Vevay,_05:00,_04:00
America/Indiana/Indianapolis,_05:00,_04:00
America/Indiana/Knox,_06:00,_05:00
America/Detroit,_05:00,_04:00
America/Adak,_10:00,_09:00
America/Chicago,_06:00,_05:00
America/Boise,_07:00,_06:00
America/Denver,_07:00,_06:00
America/Indiana/Petersburg,_05:00,_04:00
America/Indiana/Marengo,_05:00,_04:00
America/Indiana/Winamac,_05:00,_04:00
America/Indiana/Vincennes,_05:00,_04:00
America/Yakutat,_09:00,_08:00
America/Nome,_09:00,_08:00
America/New_York,_05:00,_04:00
America/Menominee,_06:00,_05:00
America/Metlakatla,_08:00,_08:00
America/Kentucky/Monticello,_05:00,_04:00
America/Juneau,_09:00,_08:00
America/Kentucky/Louisville,_05:00,_04:00
America/Los_Angeles,_08:00,_07:00
America/Phoenix,_07:00,_07:00
America/North_Dakota/New_Salem,_06:00,_05:00
America/North_Dakota/Center,_06:00,_05:00
Pacific/Honolulu,_10:00,_10:00
America/Indiana/Tell_City,_06:00,_05:00
Pacific/Midway,_11:00,_11:00
Pacific/Johnston,_10:00,_10:00
Pacific/Wake,+12:00,+12:00
Europe/London,+00:00,+01:00
Africa/Kampala,+03:00,+03:00
Europe/Uzhgorod,+02:00,+03:00
Europe/Simferopol,+02:00,+03:00
Europe/Kiev,+02:00,+03:00
